Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
309,Axis Bluechip Fund Direct Plan Growth,"₹32,322.11Cr",45.80,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",5,500.0,27.99904914,4.34124606,13.5,86.5,,,Axis Bluechip Fund Direct Plan Growth,Very High,Equity,-1.44,13.46,13.61,https://groww.in/mutual-funds/axis-equity-fund-direct-growth
310,Kotak Flexicap Fund Direct Growth,"₹33,341.11Cr",54.22,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",3,500.0,21.53788195,3.15125126,3.980004,96.02,,,Kotak Flexicap Fund Direct Growth,Very High,Equity,1.4,13.44,10.59,https://groww.in/mutual-funds/kotak-select-focus-fund-direct-growth
311,Motilal Oswal Equity Hybrid Fund Direct Growth,₹375.17Cr,15.37,Exit load of 1% if redeemed within 15 days,3,500.0,23.96836026,3.9758042,31.43941591,68.5605839,124.1,5.36,Motilal Oswal Equity Hybrid Fund Direct Growth,Very High,Hybrid,1.76,13.44,,https://groww.in/mutual-funds/motilal-oswal-equity-hybrid-fund-direct-growth
312,IDBI Nifty Index Fund Direct Growth,₹194.31Cr,32.52,Nil,3,500.0,20.643288,3.095328,0.49,99.51,,,IDBI Nifty Index Fund Direct Growth,Very High,Other,4.86,13.42,11.29,https://groww.in/mutual-funds/idbi-nifty-index-fund-direct-growth
313,SBI Nifty Index Direct Plan Growth,"₹2,416.93Cr",147.24,Exit load of 0.20% if redeemed within 15 days,3,500.0,20.643288,3.095328,-0.11265742,100.11265742,,,SBI Nifty Index Direct Plan Growth,Very High,Other,4.79,13.42,11.37,https://groww.in/mutual-funds/sbi-nifty-index-fund-direct-growth
314,LIC MF Nifty 50 Index Fund Direct Growth,₹52.63Cr,94.83,"Exit load of 0.25%, if redeemed within 7 days.",3,52.63,20.659379,3.07749,0.50901849,99.49098127,,,LIC MF Nifty 50 Index Fund Direct Growth,Very High,Other,4.76,13.39,11.06,https://groww.in/mutual-funds/lic-mf-index-fund-nifty-direct-growth
315,Tata S&amp;P BSE Sensex Index Direct,₹137.06Cr,141.71,Exit load of 0.25% if redeemed within 7 days,4,150.0,22.839378,3.316482,0.49,99.51,,,Tata S&amp;P BSE Sensex Index Direct,Very High,Other,5.0,13.37,12.19,https://groww.in/mutual-funds/tata-index-fund-sensex-plan-direct
316,Franklin India Equity Hybrid Fund Direct Growth,"₹1,268.36Cr",186.40,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year",3,500.0,17.81518347,2.67415728,29.42702991,70.57296974,730.5383239,6.41021912,Franklin India Equity Hybrid Fund Direct Growth,Very High,Hybrid,1.94,13.35,9.94,https://groww.in/mutual-funds/franklin-india-balanced-fund-direct-growth
317,LIC MF S&amp;P BSE Sensex Fund Direct Growth,₹49.03Cr,107.11,"Exit load of 0.25%, if redeemed within 7 days.",3,49.03,22.839378,3.316482,0.5423564200000001,99.45764344,,,LIC MF S&amp;P BSE Sensex Fund Direct Growth,Very High,Other,5.08,13.34,11.91,https://groww.in/mutual-funds/lic-mf-index-fund-sensex-direct-growth
318,Quantum Equity Fund of Funds Direct Growth,₹77.59Cr,50.22,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days.",2,500.0,27.43786967,3.85460012,5.98450201,29.385498,,,Quantum Equity Fund of Funds Direct Growth,Very High,Other,0.56,13.33,9.02,https://groww.in/mutual-funds/quantum-equity-fund-of-funds-direct-growth
319,Axis Focused 25 Direct Plan Growth,"₹16,702.40Cr",43.45,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",3,500.0,22.54009315,4.77201236,24.81050389,75.18949611,,,Axis Focused 25 Direct Plan Growth,Very High,Equity,-5.93,13.32,11.58,https://groww.in/mutual-funds/axis-focused-25-fund-direct-growth
320,Tata Retirement Savings Fund Progressive Plan Direct Growth,"₹1,132.09Cr",45.71,Exit load of 1% if redeemed before 61 months.,3,150.0,24.98524367,4.25387121,5.97,94.05,,,Tata Retirement Savings Fund Progressive Plan Direct Growth,Very High,Solution Oriented,-0.89,13.31,10.11,https://groww.in/mutual-funds/tata-retirement-savings-fund-progressive-plan-direct
321,Franklin India NSE Nifty 50 Index Direct Growth,₹439.29Cr,134.85,"Exit load of 0.25%, if redeemed within 7 days.",3,500.0,20.659379,3.07749,2.2808294,97.71917031,,,Franklin India NSE Nifty 50 Index Direct Growth,Very High,Other,4.66,13.3,11.06,https://groww.in/mutual-funds/franklin-india-index-fund-nse-nifty-plan-direct-growth
322,Edelweiss Greater China Equity Off shore Fund Direct Growth,"₹1,712.31Cr",41.55,Exit load of 1% if redeemed within 12 months,,500.0,,,0.67,99.33,,,Edelweiss Greater China Equity Off shore Fund Direct Growth,Very High,Other,-30.11,13.29,11.64,https://groww.in/mutual-funds/edelweiss-greater-china-equity-offshore-fund-direct
323,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,₹139.16Cr,15.17,Nil,3,100.0,21.33193215,3.11210999,25.70572029,74.29427954,3241.2,6.39,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,Moderately High,Solution Oriented,7.28,13.29,,https://groww.in/mutual-funds/icici-prudential-retirement-fund-hybrid-aggressive-plan-direct-growth
324,Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth,₹251.35Cr,18.83,0.25% for redemption within 28 days,,251.35,,,1.48840819,98.51159181,,,Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth,Very High,Other,-11.15,13.27,9.76,https://groww.in/mutual-funds/birla-sun-life-global-commodities-fund-direct-growth
325,Kotak US Equity Fund Standard Direct Growth,₹14.68Cr,20.13,Exit load of 1% if redeemed within 1 year.,,14.68,0.0,0.0,100.0,0.0,0.0,0.0,Kotak US Equity Fund Standard Direct Growth,High,Other,17.14,13.24,11.67,https://groww.in/mutual-funds/kotak-us-equity-fund-direct-growth
326,HSBC Large Cap Equity Fund Direct Growth,₹689.46Cr,320.20,Exit load of 1% if redeemed within 1 year,2,500.0,25.02833001,3.34369235,1.61,98.39,,,HSBC Large Cap Equity Fund Direct Growth,Very High,Equity,2.67,13.19,10.0,https://groww.in/mutual-funds/hsbc-equity-fund-direct-growth
327,Tata Retirement Savings Fund Moderate Plan Direct Growth,"₹1,480.81Cr",45.86,Exit load of 1% if redeemed before 61 months.,3,150.0,24.89965715,4.26223142,20.34,79.64,1049.06660055,6.66786531,Tata Retirement Savings Fund Moderate Plan Direct Growth,Very High,Solution Oriented,0.88,13.1,9.6,https://groww.in/mutual-funds/tata-retirement-savings-fund-moderate-plan-direct
328,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,₹82.19Cr,96.11,Exit load of 1% if redeemed within 15 days.,2,82.19,18.22214364,2.68137676,4.266799890000001,95.733223,,,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,Very High,Other,2.85,13.09,9.37,https://groww.in/mutual-funds/icici-prudential-advisor-series-long-term-savings-plan-direct-growth
329,L&amp;T Flexicap Fund Direct Growth,"₹2,561.58Cr",120.71,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",2,500.0,16.06095847,2.26553789,5.34,94.66,,,L&amp;T Flexicap Fund Direct Growth,Very High,Equity,2.63,13.05,8.81,https://groww.in/mutual-funds/l-t-equity-fund-direct-growth
330,Tata Large Cap Direct Plan Growth,"₹1,132.30Cr",345.98,"For units more than 12% of the investments, an exit load of 1% if redeemed within 365 days.",3,150.0,20.72783119,2.8589825,3.95,96.02,,,Tata Large Cap Direct Plan Growth,Very High,Equity,3.56,13.03,10.34,https://groww.in/mutual-funds/tata-large-cap-fund-direct-growth
331,JM Large Cap Fund Direct Plan Growth,₹45.97Cr,102.44,"Exit load of 1%, if redeemed within 60 days.",4,500.0,18.49069617,2.93574848,1.85279742,98.14720245,,,JM Large Cap Fund Direct Plan Growth,Very High,Equity,4.34,13.02,9.33,https://groww.in/mutual-funds/jm-equity-direct-growth
332,Aditya Birla Sun Life Pure Value Direct Fund Growth,"₹3,528.59Cr",73.40,1% for redemption within 90 days,1,3528.59,17.40912236,2.03207254,7.15151086,92.84848987,,,Aditya Birla Sun Life Pure Value Direct Fund Growth,Very High,Equity,-2.0,13.01,5.3,https://groww.in/mutual-funds/birla-sun-life-pure-value-fund-direct-growth
333,Nippon India US Equity Opportunities Fund Direct Growth,₹511.44Cr,24.08,Exit load of 1% if redeemed within 1 months.,,511.44,24.95876085,4.03018088,5.23,94.77,,,Nippon India US Equity Opportunities Fund Direct Growth,Very High,Equity,-12.28,12.93,15.16,https://groww.in/mutual-funds/nippon-india-us-equity-opportunities-fund-direct-growth
334,HSBC Equity Hybrid Fund Direct Growth,₹447.68Cr,15.55,"For units more than 10% of the investments, an exit load of 1% if redeemed within 1 year.",3,500.0,22.64253978,2.95122254,30.13,69.87,924.66666545,5.02,HSBC Equity Hybrid Fund Direct Growth,Very High,Hybrid,1.08,12.88,,https://groww.in/mutual-funds/hsbc-equity-hybrid-fund-direct-growth
335,Axis Long Term Equity Direct Plan Growth,"₹27,627.69Cr",68.93,Nil,3,500.0,23.70705092,4.97450725,2.03,97.97,,,Axis Long Term Equity Direct Plan Growth,Very High,Equity,-6.85,12.83,11.58,https://groww.in/mutual-funds/axis-long-term-equity-fund-direct-growth
336,HDFC Dynamic PE Ratio FoF Direct Growth,₹29.27Cr,28.25,Exit load of 1% if redeemed within 1 year.,3,300.0,14.2531738,2.0772394,48.54823399,51.451773,,,HDFC Dynamic PE Ratio FoF Direct Growth,High,Other,4.18,12.83,9.25,https://groww.in/mutual-funds/hdfc-dynamic-pe-ratio-fund-of-funds-direct-growth
337,L&amp;T India Large Cap Fund Direct Growth,₹653.97Cr,40.77,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",2,500.0,25.26132199,3.40081524,2.08142208,97.92,,,L&amp;T India Large Cap Fund Direct Growth,Very High,Equity,2.12,12.78,9.84,https://groww.in/mutual-funds/l-t-india-large-cap-fund-direct-growth
338,UTI Infrastructure Fund Direct Growth,"₹1,289.71Cr",77.78,Exit load of 1% if redeemed within 30 days.,2,500.0,21.64215157,2.79881259,1.38,98.6,,,UTI Infrastructure Fund Direct Growth,Very High,Equity,3.74,12.77,7.52,https://groww.in/mutual-funds/uti-infrastructure-fund-direct-growth
339,Tata Hybrid Equity Fund Direct Plan Growth,"₹3,027.41Cr",322.02,"For units more than 12% of the investments, an exit load of 1% if redeemed within 365 days.",2,150.0,21.46464738,3.09855863,22.34487215,77.66,691.90319435,6.93,Tata Hybrid Equity Fund Direct Plan Growth,Very High,Hybrid,6.45,12.74,9.1,https://groww.in/mutual-funds/tata-balanced-fund-direct-growth
340,Nippon India Tax Saver (ELSS) Fund Direct Growth,"₹10,710.88Cr",79.08,Nil,1,500.0,20.05186603,2.86122037,1.71,98.29,,,Nippon India Tax Saver (ELSS) Fund Direct Growth,Very High,Equity,7.29,12.62,4.83,https://groww.in/mutual-funds/nippon-india-tax-saver-elss-fund-direct-growth
341,SBI Gold Direct Plan Growth,"₹1,172.83Cr",16.16,Exit load of 1% if redeemed within 15 days.,3,500.0,,,1.653602,0.0,,,SBI Gold Direct Plan Growth,High,Other,5.75,12.6,11.73,https://groww.in/mutual-funds/sbi-gold-fund-direct-growth
342,ICICI Prudential Balanced Advantage Direct Growth,"₹40,063.80Cr",54.62,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year",4,100.0,18.81977666,2.66859158,60.34010294,39.65989706,3000.3,6.06,ICICI Prudential Balanced Advantage Direct Growth,High,Hybrid,8.01,12.54,10.34,https://groww.in/mutual-funds/icici-prudential-balanced-advantage-fund-direct-growth
343,Shriram Flexi Cap Fund Direct Growth,₹58.62Cr,14.88,Exit load of 1% if redeemed within 12 months.,2,58.62,25.70450579,3.86853511,8.25,91.75,,,Shriram Flexi Cap Fund Direct Growth,Very High,Equity,4.98,12.54,,https://groww.in/mutual-funds/shriram-multicap-fund-direct-growth
344,Franklin India Life Stage FoF The 20s Plan Direct Growth,₹10.22Cr,117.69,Exit load of 1% if redeemed within 1 year,2,10.22,20.23618596,3.2178112,22.28164216,77.664209,,,Franklin India Life Stage FoF The 20s Plan Direct Growth,Very High,Other,2.26,12.51,7.99,https://groww.in/mutual-funds/franklin-india-life-stage-20s-plan-direct-growth
345,Taurus Tax Shield Direct Growth,₹57.30Cr,113.59,Nil,3,500.0,19.46518392,2.80099756,16.42,83.58,,,Taurus Tax Shield Direct Growth,Very High,Equity,0.71,12.47,9.72,https://groww.in/mutual-funds/taurus-taxshield-direct-growth
346,Navi ELSS Tax Saver Fund Direct Growth,₹54.67Cr,21.00,Nil,2,500.0,19.52825688,2.97427352,3.64,96.36,,,Navi ELSS Tax Saver Fund Direct Growth,Very High,Equity,2.95,12.38,8.94,https://groww.in/mutual-funds/navi-elss-tax-saver-fund-direct-growth
347,HSBC Managed Solutions India Growth Fund Direct Growth,₹34.95Cr,25.74,Exit load of 1% if redeemed within 1 year,3,500.0,25.02833001,3.34369235,17.906242,62.103768,,,HSBC Managed Solutions India Growth Fund Direct Growth,Very High,Other,0.04,12.37,8.72,https://groww.in/mutual-funds/hsbc-managed-solutions-india-growth-direct-growth
348,L&amp;T Tax Advantage Fund Direct Growth,"₹2,874.53Cr",77.18,Nil,2,500.0,26.92004728,3.76270723,2.19,97.81325619,,,L&amp;T Tax Advantage Fund Direct Growth,Very High,Equity,-1.55,12.36,7.78,https://groww.in/mutual-funds/l-t-tax-advantage-fund-direct-growth
349,Indiabulls Tax Savings Fund Direct Growth,₹38.45Cr,13.60,Nil,2,500.0,23.96307285,3.13590421,1.08628083,98.91371864,,,Indiabulls Tax Savings Fund Direct Growth,Very High,Equity,3.34,12.34,,https://groww.in/mutual-funds/indiabulls-tax-savings-fund-direct-growth
350,Mahindra Manulife Equity Savings Dhan Sanchay Yojana Direct Growth,₹417.78Cr,16.83,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",4,500.0,17.38396755,2.42183919,58.11,41.89,465.85765775,6.09931678,Mahindra Manulife Equity Savings Dhan Sanchay Yojana Direct Growth,Moderately High,Hybrid,5.19,12.32,8.94,https://groww.in/mutual-funds/mahindra-dhan-sanchay-yojana-direct-growth
351,Mirae Asset Equity Savings Fund Direct Growth,₹539.28Cr,14.93,Exit load of 1% if redeemed within 1 year for units above 15% of the investment.,5,539.28,20.19264491,2.92943294,59.37222762,40.62777208,1423.5,6.91,Mirae Asset Equity Savings Fund Direct Growth,Moderately High,Hybrid,4.03,12.28,,https://groww.in/mutual-funds/mirae-asset-equity-savings-fund-direct-growth
352,DSP Focus Direct Plan Growth,"₹1,691.46Cr",33.75,Exit load of 1% if redeemed less than 12 months,2,500.0,27.39251567,4.72934388,1.35,98.65,,,DSP Focus Direct Plan Growth,Very High,Equity,-3.68,12.27,8.68,https://groww.in/mutual-funds/dsp-blackrock-focus-25-fund-direct-growth
353,Indiabulls Equity Hybrid Fund Direct Growth,₹30.64Cr,15.02,"Exit load of 1%, if redeemed within 7 days.",3,500.0,22.05821529,2.54784706,30.4474761,69.5525237,,,Indiabulls Equity Hybrid Fund Direct Growth,Very High,Hybrid,4.71,12.26,,https://groww.in/mutual-funds/indiabulls-equity-hybrid-fund-direct-growth
354,Axis Gold Direct Plan Growth,₹260.45Cr,16.59,Exit load of 1% if redeemed within 1 year.,4,260.45,,,2.501732,0.0,,,Axis Gold Direct Plan Growth,High,Other,4.55,12.2,11.45,https://groww.in/mutual-funds/axis-gold-fund-direct-growth
355,Union Balanced Advantage Fund Direct Growth,"₹1,857.12Cr",15.21,1% exit load if redeemed within 15 days.,4,1857.12,20.85437364,2.9324298,53.99120617,46.01,299.3,4.93,Union Balanced Advantage Fund Direct Growth,Moderately High,Hybrid,2.98,12.08,,https://groww.in/mutual-funds/union-balanced-advantage-fund-direct-growth
356,Invesco India Gold Fund Direct Growth,₹57.91Cr,15.48,Nil,3,500.0,,,2.12308,0.0,,,Invesco India Gold Fund Direct Growth,High,Other,5.23,12.06,12.05,https://groww.in/mutual-funds/invesco-india-gold-fund-direct-growth
357,Navi Large Cap Equity Fund Direct Growth,₹91.25Cr,35.44,Nil,2,91.25,19.93527328,3.07804578,4.069999999999999,95.93,,,Navi Large Cap Equity Fund Direct Growth,Very High,Equity,-0.54,12.05,8.79,https://groww.in/mutual-funds/navi-large-cap-equity-fund-direct-growth
358,Kotak Gold Fund Direct Growth,"₹1,308.21Cr",21.29,"For units in excess of 6% of the investment,1% will be charged for redemption within 365 days",5,1308.21,,,3.872536,0.0,1.095,,Kotak Gold Fund Direct Growth,Moderately High,Other,3.8,11.95,11.7,https://groww.in/mutual-funds/kotak-gold-fund-direct-growth
359,PGIM India Large Cap Fund Direct Plan Growth,₹347.56Cr,255.14,0.5% for redemption within 90 days,2,347.56,20.06255956,2.68106751,7.06999999,92.93,,,PGIM India Large Cap Fund Direct Plan Growth,Very High,Equity,-1.8,11.83,9.31,https://groww.in/mutual-funds/pgim-india-large-cap-fund-direct-plan-growth
360,HDFC Gold Direct Plan Growth,"₹1,358.69Cr",16.39,Exit load of 2% if redeemed within 6 months and 1% if redeemed after 6 months but within 1 year.,4,300.0,,,2.24457821,0.0,,,HDFC Gold Direct Plan Growth,High,Other,4.4,11.8,11.45,https://groww.in/mutual-funds/hdfc-gold-fund-direct-growth
361,IDBI Hybrid Equity Fund Direct Growth,₹174.19Cr,16.08,Exit load of 1% if redeemed within 12 months.,2,500.0,21.42088589,3.31506933,31.27,68.73,3036.8,7.38,IDBI Hybrid Equity Fund Direct Growth,Very High,Hybrid,2.12,11.79,6.76,https://groww.in/mutual-funds/idbi-prudence-fund-direct-growth
362,Invesco India Equity &amp; Bond Fund Direct Growth,₹360.74Cr,14.50,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",2,500.0,22.334192,3.17914295,25.19,74.81,1288.45,6.64,Invesco India Equity &amp; Bond Fund Direct Growth,Very High,Hybrid,0.24,11.74,,https://groww.in/mutual-funds/invesco-india-equity-bond-fund-direct-growth
363,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,₹685.54Cr,16.79,Exit load of 1% if redeemed within 15 days,3,100.0,,,2.38935672,0.0,,,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,High,Other,4.82,11.74,11.33,https://groww.in/mutual-funds/icici-prudential-regular-gold-savings-fund-direct-growth
364,Kotak Debt Hybrid Fund Direct Growth,"₹1,468.39Cr",47.22,"For units in excess of 8% of the investment,1% will be charged for redemption within 6 months.",5,1468.39,22.14256741,2.76513423,75.66029965,24.34,2477.6565,6.6102,Kotak Debt Hybrid Fund Direct Growth,Moderately High,Hybrid,5.98,11.72,9.16,https://groww.in/mutual-funds/kotak-monthly-i-come-plan-direct-growth
365,Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,"₹6,585.76Cr",78.02,0.25% for redemption within 7 days.,3,100.0,15.90244008,2.63779975,50.72403928,49.27596036,627.8,6.96,Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,High,Hybrid,2.12,11.7,8.86,https://groww.in/mutual-funds/birla-sun-life-balanced-advantage-fund-direct-growth
366,Kotak Balanced Advantage Fund Direct Growth,"₹13,493.74Cr",14.84,"For units in excess of 8% of the investment,1% will be charged for redemption within 365 days",4,100.0,18.49059444,2.76725575,49.0887311,50.91133643,2221.9375,6.8271,Kotak Balanced Advantage Fund Direct Growth,Very High,Hybrid,4.09,11.68,,https://groww.in/mutual-funds/kotak-balanced-advantage-fund-direct-growth
367,Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth,₹26.92Cr,28.85,Exit load of 1% if redeemed within 365 days.,3,100.0,20.92977828,3.14082222,49.00434513,29.141635,1.095,,Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth,High,Other,2.32,11.62,8.81,https://groww.in/mutual-funds/birla-sun-life-financial-planning-fof-prudent-direct-growth
368,Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth,"₹7,420.07Cr","1,097.89",1% for redemption within 90 days,3,100.0,26.06303384,3.77218718,26.44031735,73.55968265,1365.1,7.21,Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth,Very High,Hybrid,1.04,11.6,7.69,https://groww.in/mutual-funds/birla-sun-life-balanced-95-direct-growth
